quadkey	wkt
24131115	POLYGON ((98.525390625 7.646484375, 98.525390625 7.734375, 98.61328125 7.734375, 98.61328125 7.646484375, 98.525390625 7.646484375))
24131118	POLYGON ((98.61328125 7.646484375, 98.61328125 7.734375, 98.701171875 7.734375, 98.701171875 7.646484375, 98.61328125 7.646484375))
24131119	POLYGON ((98.701171875 7.646484375, 98.701171875 7.734375, 98.7890625 7.734375, 98.7890625 7.646484375, 98.701171875 7.646484375))
24131130	POLYGON ((98.7890625 7.646484375, 98.7890625 7.734375, 98.876953125 7.734375, 98.876953125 7.646484375, 98.7890625 7.646484375))
24131131	POLYGON ((98.876953125 7.646484375, 98.876953125 7.734375, 98.96484375 7.734375, 98.96484375 7.646484375, 98.876953125 7.646484375))
24131134	POLYGON ((98.96484375 7.646484375, 98.96484375 7.734375, 99.052734375 7.734375, 99.052734375 7.646484375, 98.96484375 7.646484375))
24131135	POLYGON ((99.052734375 7.646484375, 99.052734375 7.734375, 99.140625 7.734375, 99.140625 7.646484375, 99.052734375 7.646484375))
24131434	POLYGON ((100.546875 7.646484375, 100.546875 7.734375, 100.634765625 7.734375, 100.634765625 7.646484375, 100.546875 7.646484375))
24130516	POLYGON ((98.26171875 7.734375, 98.26171875 7.822265625, 98.349609375 7.822265625, 98.349609375 7.734375, 98.26171875 7.734375))
24130517	POLYGON ((98.349609375 7.734375, 98.349609375 7.822265625, 98.4375 7.822265625, 98.4375 7.734375, 98.349609375 7.734375))
24131200	POLYGON ((98.4375 7.734375, 98.4375 7.822265625, 98.525390625 7.822265625, 98.525390625 7.734375, 98.4375 7.734375))
24131201	POLYGON ((98.525390625 7.734375, 98.525390625 7.822265625, 98.61328125 7.822265625, 98.61328125 7.734375, 98.525390625 7.734375))
24131204	POLYGON ((98.61328125 7.734375, 98.61328125 7.822265625, 98.701171875 7.822265625, 98.701171875 7.734375, 98.61328125 7.734375))
24131205	POLYGON ((98.701171875 7.734375, 98.701171875 7.822265625, 98.7890625 7.822265625, 98.7890625 7.734375, 98.701171875 7.734375))
24131216	POLYGON ((98.7890625 7.734375, 98.7890625 7.822265625, 98.876953125 7.822265625, 98.876953125 7.734375, 98.7890625 7.734375))
24131217	POLYGON ((98.876953125 7.734375, 98.876953125 7.822265625, 98.96484375 7.822265625, 98.96484375 7.734375, 98.876953125 7.734375))
24131220	POLYGON ((98.96484375 7.734375, 98.96484375 7.822265625, 99.052734375 7.822265625, 99.052734375 7.734375, 98.96484375 7.734375))
24131520	POLYGON ((100.546875 7.734375, 100.546875 7.822265625, 100.634765625 7.822265625, 100.634765625 7.734375, 100.546875 7.734375))
